strategy,difficulty,query,metric,score,total_relevant_docs,retrieved_ids,ground_truth_ids,incorrect_retrieved_top3,incorrect_retrieved_all,missed_ground_truth,notes
query_rewrite_sentence_cosine,hard,Find people whose first name starts with the letter M,precision@5,0.4,9,"mozart, malcolm_x, mary_wollstonecraft, mother_teresa, harriet_tubman","michelangelo, marie_curie, malcolm_x, montaigne, maya_angelou, mlk, cervantes, mary_wollstonecraft, gandhi",Wolfgang Amadeus Mozart (mozart) | Mother Teresa (mother_teresa) | Harriet Tubman (harriet_tubman),Wolfgang Amadeus Mozart (mozart) | Mother Teresa (mother_teresa) | Harriet Tubman (harriet_tubman),Michelangelo (michelangelo) | Marie Curie (marie_curie) | Michel de Montaigne (montaigne) | Maya Angelou (maya_angelou) | Martin Luther King Jr. (mlk) | Miguel de Cervantes (cervantes) | Mahatma Gandhi (gandhi),"LEXICAL PATTERN - embeddings capture meaning, not spelling"
query_rewrite_sentence_cosine,hard,Find people who lived in the 20th century but died before 1950,precision@5,0.0,13,"cheikh_anta_diop, picasso, ibn_khaldun, frida_kahlo, simone_de_beauvoir","gandhi, nikola_tesla, monet, harriet_tubman, florence_nightingale, tolstoy, monet, marie_curie, amelia_earhart, srinivasa_ramanujan, simone_weil, rabindranath_tagore, queen_liliuokalani",Cheikh Anta Diop (cheikh_anta_diop) | Pablo Picasso (picasso) | Ibn Khaldun (ibn_khaldun),Cheikh Anta Diop (cheikh_anta_diop) | Pablo Picasso (picasso) | Ibn Khaldun (ibn_khaldun) | Frida Kahlo (frida_kahlo) | Simone de Beauvoir (simone_de_beauvoir),Mahatma Gandhi (gandhi) | Nikola Tesla (nikola_tesla) | Claude Monet (monet) | Harriet Tubman (harriet_tubman) | Florence Nightingale (florence_nightingale) | Leo Tolstoy (tolstoy) | Claude Monet (monet) | Marie Curie (marie_curie) | Amelia Earhart (amelia_earhart) | Srinivasa Ramanujan (srinivasa_ramanujan) | Simone Weil (simone_weil) | Rabindranath Tagore (rabindranath_tagore) | Queen Liliuokalani (queen_liliuokalani),COMPLEX TEMPORAL - requires date arithmetic
bm25_keyword,easy,Find scientists who made discoveries about the nature of light,recall@5,1.0,2,"newton, monet, einstein, darwin, rabindranath_tagore","newton, einstein",Claude Monet (monet) | Charles Darwin (darwin) | Rabindranath Tagore (rabindranath_tagore),Claude Monet (monet) | Charles Darwin (darwin) | Rabindranath Tagore (rabindranath_tagore),,Semantic query about scientific contributions
bm25_keyword,easy,Find people known for their contributions to civil rights and racial equality,precision@5,0.8,12,"mlk, gandhi, rosa_parks, mary_wollstonecraft, maya_angelou","mlk, mandela, rosa_parks, frederick_douglass, harriet_tubman, malcolm_x, lincoln, einstein, gandhi, wangari_maathai, chinua_achebe, maya_angelou",Mary Wollstonecraft (mary_wollstonecraft),Mary Wollstonecraft (mary_wollstonecraft),Nelson Mandela (mandela) | Frederick Douglass (frederick_douglass) | Harriet Tubman (harriet_tubman) | Malcolm X (malcolm_x) | Abraham Lincoln (lincoln) | Albert Einstein (einstein) | Wangari Maathai (wangari_maathai) | Chinua Achebe (chinua_achebe),Thematic query about human rights activists
bm25_keyword,easy,Find philosophers from ancient Greece,recall@5,0.5,2,"aristotle, kant, catherine_great, cheikh_anta_diop, sun_tzu","aristotle, plato",Immanuel Kant (kant) | Catherine the Great (catherine_great) | Cheikh Anta Diop (cheikh_anta_diop),Immanuel Kant (kant) | Catherine the Great (catherine_great) | Cheikh Anta Diop (cheikh_anta_diop) | Sun Tzu (sun_tzu),Plato (plato),Geographic and temporal scope with explicit profession
bm25_keyword,easy,Find people who made contributions to mathematics,precision@5,0.6,11,"srinivasa_ramanujan, ibn_sina, newton, nikola_tesla, cleopatra","newton, alan_turing, srinivasa_ramanujan, hypatia, ibn_sina, aristotle, plato, leonardo, copernicus, florence_nightingale, einstein",Nikola Tesla (nikola_tesla) | Cleopatra VII (cleopatra),Nikola Tesla (nikola_tesla) | Cleopatra VII (cleopatra),Alan Turing (alan_turing) | Hypatia of Alexandria (hypatia) | Aristotle (aristotle) | Plato (plato) | Leonardo da Vinci (leonardo) | Nicolaus Copernicus (copernicus) | Florence Nightingale (florence_nightingale) | Albert Einstein (einstein),Mathematical contributions query
bm25_keyword,easy,Find artists known for emotional and expressive work,precision@5,1.0,13,"michelangelo, tchaikovsky, mozart, monet, picasso","van_gogh, frida_kahlo, beethoven, tchaikovsky, hildegard, leonardo, michelangelo, raphael, bach, mozart, monet, picasso, queen_liliuokalani",,,Vincent van Gogh (van_gogh) | Frida Kahlo (frida_kahlo) | Ludwig van Beethoven (beethoven) | Hildegard of Bingen (hildegard) | Leonardo da Vinci (leonardo) | Raphael (raphael) | Johann Sebastian Bach (bach) | Queen Liliuokalani (queen_liliuokalani),Visual artists and composers known for emotional expression
bm25_keyword,hard,Find leaders who fought for independence of their nations from colonial rule,recall@5,0.5,4,"gandhi, frederick_douglass, benjamin_franklin, cleopatra, rosa_parks","gandhi, queen_liliuokalani, benjamin_franklin, mandela",Frederick Douglass (frederick_douglass) | Cleopatra VII (cleopatra) | Rosa Parks (rosa_parks),Frederick Douglass (frederick_douglass) | Cleopatra VII (cleopatra) | Rosa Parks (rosa_parks),Queen Liliuokalani (queen_liliuokalani) | Nelson Mandela (mandela),Anti-colonial independence leaders
bm25_keyword,hard,Find female scientists and mathematicians,recall@5,0.25,4,"amelia_earhart, hypatia, srinivasa_ramanujan, catherine_great, alan_turing","marie_curie, hypatia, florence_nightingale, rachel_carson",Amelia Earhart (amelia_earhart) | Srinivasa Ramanujan (srinivasa_ramanujan) | Catherine the Great (catherine_great),Amelia Earhart (amelia_earhart) | Srinivasa Ramanujan (srinivasa_ramanujan) | Catherine the Great (catherine_great) | Alan Turing (alan_turing),Marie Curie (marie_curie) | Florence Nightingale (florence_nightingale) | Rachel Carson (rachel_carson),"Gender + profession query, embeddings are likely to match one, not both"
bm25_keyword,hard,Find people who were NOT born in Europe,precision@5,0.6,30,"ibn_battuta, voltaire, genghis_khan, gandhi, mother_teresa","confucius, sun_tzu, cleopatra, gandhi, mandela, mlk, harriet_tubman, frederick_douglass, rosa_parks, malcolm_x, maya_angelou, frida_kahlo, gabriel_garcia_marquez, chinua_achebe, wangari_maathai, cheikh_anta_diop, akira_kurosawa, srinivasa_ramanujan, rabindranath_tagore, queen_liliuokalani, ibn_battuta, rumi, ibn_sina, genghis_khan, ibn_khaldun, amelia_earhart, benjamin_franklin, lincoln, hypatia, rachel_carson",Voltaire (voltaire) | Mother Teresa (mother_teresa),Voltaire (voltaire) | Mother Teresa (mother_teresa),Confucius (confucius) | Sun Tzu (sun_tzu) | Cleopatra VII (cleopatra) | Nelson Mandela (mandela) | Martin Luther King Jr. (mlk) | Harriet Tubman (harriet_tubman) | Frederick Douglass (frederick_douglass) | Rosa Parks (rosa_parks) | Malcolm X (malcolm_x) | Maya Angelou (maya_angelou) | Frida Kahlo (frida_kahlo) | Gabriel García Márquez (gabriel_garcia_marquez) | Chinua Achebe (chinua_achebe) | Wangari Maathai (wangari_maathai) | Cheikh Anta Diop (cheikh_anta_diop) | Akira Kurosawa (akira_kurosawa) | Srinivasa Ramanujan (srinivasa_ramanujan) | Rabindranath Tagore (rabindranath_tagore) | Queen Liliuokalani (queen_liliuokalani) | Rumi (rumi) | Ibn Sina (Avicenna) (ibn_sina) | Ibn Khaldun (ibn_khaldun) | Amelia Earhart (amelia_earhart) | Benjamin Franklin (benjamin_franklin) | Abraham Lincoln (lincoln) | Hypatia of Alexandria (hypatia) | Rachel Carson (rachel_carson),NEGATION query - embeddings struggle with 'NOT'
bm25_keyword,hard,Find people whose first name starts with the letter M,precision@5,0.2,9,"tchaikovsky, gabriel_garcia_marquez, monet, einstein, marie_curie","michelangelo, marie_curie, malcolm_x, montaigne, maya_angelou, mlk, cervantes, mary_wollstonecraft, gandhi",Pyotr Ilyich Tchaikovsky (tchaikovsky) | Gabriel García Márquez (gabriel_garcia_marquez) | Claude Monet (monet),Pyotr Ilyich Tchaikovsky (tchaikovsky) | Gabriel García Márquez (gabriel_garcia_marquez) | Claude Monet (monet) | Albert Einstein (einstein),Michelangelo (michelangelo) | Malcolm X (malcolm_x) | Michel de Montaigne (montaigne) | Maya Angelou (maya_angelou) | Martin Luther King Jr. (mlk) | Miguel de Cervantes (cervantes) | Mary Wollstonecraft (mary_wollstonecraft) | Mahatma Gandhi (gandhi),"LEXICAL PATTERN - embeddings capture meaning, not spelling"
bm25_keyword,hard,Find people who lived in the 20th century but died before 1950,precision@5,0.2,13,"mary_wollstonecraft, coco_chanel, picasso, dostoevsky, simone_weil","gandhi, nikola_tesla, monet, harriet_tubman, florence_nightingale, tolstoy, monet, marie_curie, amelia_earhart, srinivasa_ramanujan, simone_weil, rabindranath_tagore, queen_liliuokalani",Mary Wollstonecraft (mary_wollstonecraft) | Coco Chanel (coco_chanel) | Pablo Picasso (picasso),Mary Wollstonecraft (mary_wollstonecraft) | Coco Chanel (coco_chanel) | Pablo Picasso (picasso) | Fyodor Dostoevsky (dostoevsky),Mahatma Gandhi (gandhi) | Nikola Tesla (nikola_tesla) | Claude Monet (monet) | Harriet Tubman (harriet_tubman) | Florence Nightingale (florence_nightingale) | Leo Tolstoy (tolstoy) | Claude Monet (monet) | Marie Curie (marie_curie) | Amelia Earhart (amelia_earhart) | Srinivasa Ramanujan (srinivasa_ramanujan) | Rabindranath Tagore (rabindranath_tagore) | Queen Liliuokalani (queen_liliuokalani),COMPLEX TEMPORAL - requires date arithmetic
bm25_okapi_keyword,easy,Find scientists who made discoveries about the nature of light,recall@5,1.0,2,"newton, monet, einstein, darwin, rabindranath_tagore","newton, einstein",Claude Monet (monet) | Charles Darwin (darwin) | Rabindranath Tagore (rabindranath_tagore),Claude Monet (monet) | Charles Darwin (darwin) | Rabindranath Tagore (rabindranath_tagore),,Semantic query about scientific contributions
bm25_okapi_keyword,easy,Find people known for their contributions to civil rights and racial equality,precision@5,0.8,12,"mlk, gandhi, rosa_parks, mary_wollstonecraft, maya_angelou","mlk, mandela, rosa_parks, frederick_douglass, harriet_tubman, malcolm_x, lincoln, einstein, gandhi, wangari_maathai, chinua_achebe, maya_angelou",Mary Wollstonecraft (mary_wollstonecraft),Mary Wollstonecraft (mary_wollstonecraft),Nelson Mandela (mandela) | Frederick Douglass (frederick_douglass) | Harriet Tubman (harriet_tubman) | Malcolm X (malcolm_x) | Abraham Lincoln (lincoln) | Albert Einstein (einstein) | Wangari Maathai (wangari_maathai) | Chinua Achebe (chinua_achebe),Thematic query about human rights activists
bm25_okapi_keyword,easy,Find philosophers from ancient Greece,recall@5,0.5,2,"aristotle, kant, catherine_great, cheikh_anta_diop, sun_tzu","aristotle, plato",Immanuel Kant (kant) | Catherine the Great (catherine_great) | Cheikh Anta Diop (cheikh_anta_diop),Immanuel Kant (kant) | Catherine the Great (catherine_great) | Cheikh Anta Diop (cheikh_anta_diop) | Sun Tzu (sun_tzu),Plato (plato),Geographic and temporal scope with explicit profession
bm25_okapi_keyword,easy,Find people who made contributions to mathematics,precision@5,0.6,11,"srinivasa_ramanujan, ibn_sina, newton, nikola_tesla, cleopatra","newton, alan_turing, srinivasa_ramanujan, hypatia, ibn_sina, aristotle, plato, leonardo, copernicus, florence_nightingale, einstein",Nikola Tesla (nikola_tesla) | Cleopatra VII (cleopatra),Nikola Tesla (nikola_tesla) | Cleopatra VII (cleopatra),Alan Turing (alan_turing) | Hypatia of Alexandria (hypatia) | Aristotle (aristotle) | Plato (plato) | Leonardo da Vinci (leonardo) | Nicolaus Copernicus (copernicus) | Florence Nightingale (florence_nightingale) | Albert Einstein (einstein),Mathematical contributions query
bm25_okapi_keyword,easy,Find artists known for emotional and expressive work,precision@5,1.0,13,"michelangelo, tchaikovsky, mozart, monet, picasso","van_gogh, frida_kahlo, beethoven, tchaikovsky, hildegard, leonardo, michelangelo, raphael, bach, mozart, monet, picasso, queen_liliuokalani",,,Vincent van Gogh (van_gogh) | Frida Kahlo (frida_kahlo) | Ludwig van Beethoven (beethoven) | Hildegard of Bingen (hildegard) | Leonardo da Vinci (leonardo) | Raphael (raphael) | Johann Sebastian Bach (bach) | Queen Liliuokalani (queen_liliuokalani),Visual artists and composers known for emotional expression
bm25_okapi_keyword,hard,Find leaders who fought for independence of their nations from colonial rule,recall@5,0.5,4,"gandhi, frederick_douglass, benjamin_franklin, cleopatra, rosa_parks","gandhi, queen_liliuokalani, benjamin_franklin, mandela",Frederick Douglass (frederick_douglass) | Cleopatra VII (cleopatra) | Rosa Parks (rosa_parks),Frederick Douglass (frederick_douglass) | Cleopatra VII (cleopatra) | Rosa Parks (rosa_parks),Queen Liliuokalani (queen_liliuokalani) | Nelson Mandela (mandela),Anti-colonial independence leaders
bm25_okapi_keyword,hard,Find female scientists and mathematicians,recall@5,0.25,4,"amelia_earhart, hypatia, srinivasa_ramanujan, catherine_great, alan_turing","marie_curie, hypatia, florence_nightingale, rachel_carson",Amelia Earhart (amelia_earhart) | Srinivasa Ramanujan (srinivasa_ramanujan) | Catherine the Great (catherine_great),Amelia Earhart (amelia_earhart) | Srinivasa Ramanujan (srinivasa_ramanujan) | Catherine the Great (catherine_great) | Alan Turing (alan_turing),Marie Curie (marie_curie) | Florence Nightingale (florence_nightingale) | Rachel Carson (rachel_carson),"Gender + profession query, embeddings are likely to match one, not both"
bm25_okapi_keyword,hard,Find people who were NOT born in Europe,precision@5,0.6,30,"ibn_battuta, voltaire, genghis_khan, gandhi, mother_teresa","confucius, sun_tzu, cleopatra, gandhi, mandela, mlk, harriet_tubman, frederick_douglass, rosa_parks, malcolm_x, maya_angelou, frida_kahlo, gabriel_garcia_marquez, chinua_achebe, wangari_maathai, cheikh_anta_diop, akira_kurosawa, srinivasa_ramanujan, rabindranath_tagore, queen_liliuokalani, ibn_battuta, rumi, ibn_sina, genghis_khan, ibn_khaldun, amelia_earhart, benjamin_franklin, lincoln, hypatia, rachel_carson",Voltaire (voltaire) | Mother Teresa (mother_teresa),Voltaire (voltaire) | Mother Teresa (mother_teresa),Confucius (confucius) | Sun Tzu (sun_tzu) | Cleopatra VII (cleopatra) | Nelson Mandela (mandela) | Martin Luther King Jr. (mlk) | Harriet Tubman (harriet_tubman) | Frederick Douglass (frederick_douglass) | Rosa Parks (rosa_parks) | Malcolm X (malcolm_x) | Maya Angelou (maya_angelou) | Frida Kahlo (frida_kahlo) | Gabriel García Márquez (gabriel_garcia_marquez) | Chinua Achebe (chinua_achebe) | Wangari Maathai (wangari_maathai) | Cheikh Anta Diop (cheikh_anta_diop) | Akira Kurosawa (akira_kurosawa) | Srinivasa Ramanujan (srinivasa_ramanujan) | Rabindranath Tagore (rabindranath_tagore) | Queen Liliuokalani (queen_liliuokalani) | Rumi (rumi) | Ibn Sina (Avicenna) (ibn_sina) | Ibn Khaldun (ibn_khaldun) | Amelia Earhart (amelia_earhart) | Benjamin Franklin (benjamin_franklin) | Abraham Lincoln (lincoln) | Hypatia of Alexandria (hypatia) | Rachel Carson (rachel_carson),NEGATION query - embeddings struggle with 'NOT'
bm25_okapi_keyword,hard,Find people whose first name starts with the letter M,precision@5,0.2,9,"tchaikovsky, gabriel_garcia_marquez, monet, einstein, marie_curie","michelangelo, marie_curie, malcolm_x, montaigne, maya_angelou, mlk, cervantes, mary_wollstonecraft, gandhi",Pyotr Ilyich Tchaikovsky (tchaikovsky) | Gabriel García Márquez (gabriel_garcia_marquez) | Claude Monet (monet),Pyotr Ilyich Tchaikovsky (tchaikovsky) | Gabriel García Márquez (gabriel_garcia_marquez) | Claude Monet (monet) | Albert Einstein (einstein),Michelangelo (michelangelo) | Malcolm X (malcolm_x) | Michel de Montaigne (montaigne) | Maya Angelou (maya_angelou) | Martin Luther King Jr. (mlk) | Miguel de Cervantes (cervantes) | Mary Wollstonecraft (mary_wollstonecraft) | Mahatma Gandhi (gandhi),"LEXICAL PATTERN - embeddings capture meaning, not spelling"
bm25_okapi_keyword,hard,Find people who lived in the 20th century but died before 1950,precision@5,0.2,13,"mary_wollstonecraft, coco_chanel, picasso, dostoevsky, simone_weil","gandhi, nikola_tesla, monet, harriet_tubman, florence_nightingale, tolstoy, monet, marie_curie, amelia_earhart, srinivasa_ramanujan, simone_weil, rabindranath_tagore, queen_liliuokalani",Mary Wollstonecraft (mary_wollstonecraft) | Coco Chanel (coco_chanel) | Pablo Picasso (picasso),Mary Wollstonecraft (mary_wollstonecraft) | Coco Chanel (coco_chanel) | Pablo Picasso (picasso) | Fyodor Dostoevsky (dostoevsky),Mahatma Gandhi (gandhi) | Nikola Tesla (nikola_tesla) | Claude Monet (monet) | Harriet Tubman (harriet_tubman) | Florence Nightingale (florence_nightingale) | Leo Tolstoy (tolstoy) | Claude Monet (monet) | Marie Curie (marie_curie) | Amelia Earhart (amelia_earhart) | Srinivasa Ramanujan (srinivasa_ramanujan) | Rabindranath Tagore (rabindranath_tagore) | Queen Liliuokalani (queen_liliuokalani),COMPLEX TEMPORAL - requires date arithmetic
hybrid_rrf,easy,Find scientists who made discoveries about the nature of light,recall@5,1.0,2,"newton, einstein, darwin, monet, benjamin_franklin","newton, einstein",Charles Darwin (darwin) | Claude Monet (monet) | Benjamin Franklin (benjamin_franklin),Charles Darwin (darwin) | Claude Monet (monet) | Benjamin Franklin (benjamin_franklin),,Semantic query about scientific contributions
hybrid_rrf,easy,Find people known for their contributions to civil rights and racial equality,precision@5,1.0,12,"mlk, rosa_parks, frederick_douglass, gandhi, maya_angelou","mlk, mandela, rosa_parks, frederick_douglass, harriet_tubman, malcolm_x, lincoln, einstein, gandhi, wangari_maathai, chinua_achebe, maya_angelou",,,Nelson Mandela (mandela) | Harriet Tubman (harriet_tubman) | Malcolm X (malcolm_x) | Abraham Lincoln (lincoln) | Albert Einstein (einstein) | Wangari Maathai (wangari_maathai) | Chinua Achebe (chinua_achebe),Thematic query about human rights activists
hybrid_rrf,easy,Find philosophers from ancient Greece,recall@5,1.0,2,"aristotle, kant, plato, hypatia, catherine_great","aristotle, plato",Immanuel Kant (kant) | Hypatia of Alexandria (hypatia) | Catherine the Great (catherine_great),Immanuel Kant (kant) | Hypatia of Alexandria (hypatia) | Catherine the Great (catherine_great),,Geographic and temporal scope with explicit profession
hybrid_rrf,easy,Find people who made contributions to mathematics,precision@5,0.8,11,"srinivasa_ramanujan, newton, ibn_sina, hawking, aristotle","newton, alan_turing, srinivasa_ramanujan, hypatia, ibn_sina, aristotle, plato, leonardo, copernicus, florence_nightingale, einstein",Stephen Hawking (hawking),Stephen Hawking (hawking),Alan Turing (alan_turing) | Hypatia of Alexandria (hypatia) | Plato (plato) | Leonardo da Vinci (leonardo) | Nicolaus Copernicus (copernicus) | Florence Nightingale (florence_nightingale) | Albert Einstein (einstein),Mathematical contributions query
hybrid_rrf,easy,Find artists known for emotional and expressive work,precision@5,1.0,13,"tchaikovsky, michelangelo, van_gogh, monet, picasso","van_gogh, frida_kahlo, beethoven, tchaikovsky, hildegard, leonardo, michelangelo, raphael, bach, mozart, monet, picasso, queen_liliuokalani",,,Frida Kahlo (frida_kahlo) | Ludwig van Beethoven (beethoven) | Hildegard of Bingen (hildegard) | Leonardo da Vinci (leonardo) | Raphael (raphael) | Johann Sebastian Bach (bach) | Wolfgang Amadeus Mozart (mozart) | Queen Liliuokalani (queen_liliuokalani),Visual artists and composers known for emotional expression
hybrid_rrf,hard,Find leaders who fought for independence of their nations from colonial rule,recall@5,0.5,4,"gandhi, harriet_tubman, benjamin_franklin, frederick_douglass, simone_weil","gandhi, queen_liliuokalani, benjamin_franklin, mandela",Harriet Tubman (harriet_tubman) | Frederick Douglass (frederick_douglass) | Simone Weil (simone_weil),Harriet Tubman (harriet_tubman) | Frederick Douglass (frederick_douglass) | Simone Weil (simone_weil),Queen Liliuokalani (queen_liliuokalani) | Nelson Mandela (mandela),Anti-colonial independence leaders
hybrid_rrf,hard,Find female scientists and mathematicians,recall@5,0.25,4,"hypatia, srinivasa_ramanujan, alan_turing, newton, mary_wollstonecraft","marie_curie, hypatia, florence_nightingale, rachel_carson",Srinivasa Ramanujan (srinivasa_ramanujan) | Alan Turing (alan_turing) | Isaac Newton (newton),Srinivasa Ramanujan (srinivasa_ramanujan) | Alan Turing (alan_turing) | Isaac Newton (newton) | Mary Wollstonecraft (mary_wollstonecraft),Marie Curie (marie_curie) | Florence Nightingale (florence_nightingale) | Rachel Carson (rachel_carson),"Gender + profession query, embeddings are likely to match one, not both"
hybrid_rrf,hard,Find people who were NOT born in Europe,precision@5,0.6,30,"ibn_battuta, einstein, cheikh_anta_diop, voltaire, genghis_khan","confucius, sun_tzu, cleopatra, gandhi, mandela, mlk, harriet_tubman, frederick_douglass, rosa_parks, malcolm_x, maya_angelou, frida_kahlo, gabriel_garcia_marquez, chinua_achebe, wangari_maathai, cheikh_anta_diop, akira_kurosawa, srinivasa_ramanujan, rabindranath_tagore, queen_liliuokalani, ibn_battuta, rumi, ibn_sina, genghis_khan, ibn_khaldun, amelia_earhart, benjamin_franklin, lincoln, hypatia, rachel_carson",Albert Einstein (einstein) | Voltaire (voltaire),Albert Einstein (einstein) | Voltaire (voltaire),Confucius (confucius) | Sun Tzu (sun_tzu) | Cleopatra VII (cleopatra) | Mahatma Gandhi (gandhi) | Nelson Mandela (mandela) | Martin Luther King Jr. (mlk) | Harriet Tubman (harriet_tubman) | Frederick Douglass (frederick_douglass) | Rosa Parks (rosa_parks) | Malcolm X (malcolm_x) | Maya Angelou (maya_angelou) | Frida Kahlo (frida_kahlo) | Gabriel García Márquez (gabriel_garcia_marquez) | Chinua Achebe (chinua_achebe) | Wangari Maathai (wangari_maathai) | Akira Kurosawa (akira_kurosawa) | Srinivasa Ramanujan (srinivasa_ramanujan) | Rabindranath Tagore (rabindranath_tagore) | Queen Liliuokalani (queen_liliuokalani) | Rumi (rumi) | Ibn Sina (Avicenna) (ibn_sina) | Ibn Khaldun (ibn_khaldun) | Amelia Earhart (amelia_earhart) | Benjamin Franklin (benjamin_franklin) | Abraham Lincoln (lincoln) | Hypatia of Alexandria (hypatia) | Rachel Carson (rachel_carson),NEGATION query - embeddings struggle with 'NOT'
hybrid_rrf,hard,Find people whose first name starts with the letter M,precision@5,0.2,9,"wangari_maathai, amelia_earhart, maya_angelou, mozart, tchaikovsky","michelangelo, marie_curie, malcolm_x, montaigne, maya_angelou, mlk, cervantes, mary_wollstonecraft, gandhi",Wangari Maathai (wangari_maathai) | Amelia Earhart (amelia_earhart) | Wolfgang Amadeus Mozart (mozart),Wangari Maathai (wangari_maathai) | Amelia Earhart (amelia_earhart) | Wolfgang Amadeus Mozart (mozart) | Pyotr Ilyich Tchaikovsky (tchaikovsky),Michelangelo (michelangelo) | Marie Curie (marie_curie) | Malcolm X (malcolm_x) | Michel de Montaigne (montaigne) | Martin Luther King Jr. (mlk) | Miguel de Cervantes (cervantes) | Mary Wollstonecraft (mary_wollstonecraft) | Mahatma Gandhi (gandhi),"LEXICAL PATTERN - embeddings capture meaning, not spelling"
hybrid_rrf,hard,Find people who lived in the 20th century but died before 1950,precision@5,0.0,13,"picasso, coco_chanel, alan_turing, dostoevsky, cheikh_anta_diop","gandhi, nikola_tesla, monet, harriet_tubman, florence_nightingale, tolstoy, monet, marie_curie, amelia_earhart, srinivasa_ramanujan, simone_weil, rabindranath_tagore, queen_liliuokalani",Pablo Picasso (picasso) | Coco Chanel (coco_chanel) | Alan Turing (alan_turing),Pablo Picasso (picasso) | Coco Chanel (coco_chanel) | Alan Turing (alan_turing) | Fyodor Dostoevsky (dostoevsky) | Cheikh Anta Diop (cheikh_anta_diop),Mahatma Gandhi (gandhi) | Nikola Tesla (nikola_tesla) | Claude Monet (monet) | Harriet Tubman (harriet_tubman) | Florence Nightingale (florence_nightingale) | Leo Tolstoy (tolstoy) | Claude Monet (monet) | Marie Curie (marie_curie) | Amelia Earhart (amelia_earhart) | Srinivasa Ramanujan (srinivasa_ramanujan) | Simone Weil (simone_weil) | Rabindranath Tagore (rabindranath_tagore) | Queen Liliuokalani (queen_liliuokalani),COMPLEX TEMPORAL - requires date arithmetic
full_doc_large_model,easy,Find scientists who made discoveries about the nature of light,recall@5,1.0,2,"newton, einstein, benjamin_franklin, hawking, marie_curie","newton, einstein",Benjamin Franklin (benjamin_franklin) | Stephen Hawking (hawking) | Marie Curie (marie_curie),Benjamin Franklin (benjamin_franklin) | Stephen Hawking (hawking) | Marie Curie (marie_curie),,Semantic query about scientific contributions
full_doc_large_model,easy,Find people known for their contributions to civil rights and racial equality,precision@5,1.0,12,"mlk, rosa_parks, frederick_douglass, maya_angelou, malcolm_x","mlk, mandela, rosa_parks, frederick_douglass, harriet_tubman, malcolm_x, lincoln, einstein, gandhi, wangari_maathai, chinua_achebe, maya_angelou",,,Nelson Mandela (mandela) | Harriet Tubman (harriet_tubman) | Abraham Lincoln (lincoln) | Albert Einstein (einstein) | Mahatma Gandhi (gandhi) | Wangari Maathai (wangari_maathai) | Chinua Achebe (chinua_achebe),Thematic query about human rights activists
full_doc_large_model,easy,Find philosophers from ancient Greece,recall@5,1.0,2,"plato, aristotle, confucius, hypatia, kant","aristotle, plato",Confucius (confucius) | Hypatia of Alexandria (hypatia) | Immanuel Kant (kant),Confucius (confucius) | Hypatia of Alexandria (hypatia) | Immanuel Kant (kant),,Geographic and temporal scope with explicit profession
full_doc_large_model,easy,Find people who made contributions to mathematics,precision@5,1.0,11,"srinivasa_ramanujan, newton, hypatia, einstein, alan_turing","newton, alan_turing, srinivasa_ramanujan, hypatia, ibn_sina, aristotle, plato, leonardo, copernicus, florence_nightingale, einstein",,,Ibn Sina (Avicenna) (ibn_sina) | Aristotle (aristotle) | Plato (plato) | Leonardo da Vinci (leonardo) | Nicolaus Copernicus (copernicus) | Florence Nightingale (florence_nightingale),Mathematical contributions query
full_doc_large_model,easy,Find artists known for emotional and expressive work,precision@5,1.0,13,"van_gogh, frida_kahlo, picasso, monet, raphael","van_gogh, frida_kahlo, beethoven, tchaikovsky, hildegard, leonardo, michelangelo, raphael, bach, mozart, monet, picasso, queen_liliuokalani",,,Ludwig van Beethoven (beethoven) | Pyotr Ilyich Tchaikovsky (tchaikovsky) | Hildegard of Bingen (hildegard) | Leonardo da Vinci (leonardo) | Michelangelo (michelangelo) | Johann Sebastian Bach (bach) | Wolfgang Amadeus Mozart (mozart) | Queen Liliuokalani (queen_liliuokalani),Visual artists and composers known for emotional expression
full_doc_large_model,hard,Find leaders who fought for independence of their nations from colonial rule,recall@5,0.5,4,"gandhi, mandela, malcolm_x, mlk, wangari_maathai","gandhi, queen_liliuokalani, benjamin_franklin, mandela",Malcolm X (malcolm_x) | Martin Luther King Jr. (mlk) | Wangari Maathai (wangari_maathai),Malcolm X (malcolm_x) | Martin Luther King Jr. (mlk) | Wangari Maathai (wangari_maathai),Queen Liliuokalani (queen_liliuokalani) | Benjamin Franklin (benjamin_franklin),Anti-colonial independence leaders
full_doc_large_model,hard,Find female scientists and mathematicians,recall@5,0.5,4,"hypatia, marie_curie, simone_de_beauvoir, hildegard, mary_wollstonecraft","marie_curie, hypatia, florence_nightingale, rachel_carson",Simone de Beauvoir (simone_de_beauvoir) | Hildegard of Bingen (hildegard) | Mary Wollstonecraft (mary_wollstonecraft),Simone de Beauvoir (simone_de_beauvoir) | Hildegard of Bingen (hildegard) | Mary Wollstonecraft (mary_wollstonecraft),Florence Nightingale (florence_nightingale) | Rachel Carson (rachel_carson),"Gender + profession query, embeddings are likely to match one, not both"
